16進位	16进制
16進位制	16进位制
A型肝炎	甲型肝炎
A肝	甲肝
B型肝炎	乙型肝炎
B肝	乙肝
C型肝炎	丙型肝炎
C肝	丙肝
IP位址	IP地址
一份子	一分子
三十六著	三十六着
三極體	三极管
三藩市	旧金山
三蘭港	达累斯萨拉姆
上落客	上下客
下著	下着
下著作	下著作
下著名	下著名
下著录	下著录
下著有	下著有
下著称	下著称
下著稱	下著称
下著者	下著者
下著述	下著述
下著錄	下著录
不著	不着
不著名	不著名
不著書	不著书
不著稱	不著称
不著述	不著述
不著錄	不著录
主機板	主板
乘著	乘着
乘著作	乘著作
乘著名	乘著名
乘著書	乘著书
乘著称	乘著称
乘著稱	乘著称
乘著者	乘著者
乘著述	乘著述
乘著錄	乘著录
乙份	一份
乙個	一个
乙太網	以太网
乙隻	一只
乾姊	干姐
了結他	了结他
二極體	二极管
二進位	二进制
二進位制	二进位制
亚细安	东盟
亞塞拜然	阿塞拜疆
亞斯文	阿斯旺
亞歷山卓	亚历山大
亞里斯多德	亚里士多德
交帳	交账
亮著	亮着
亮著《	亮著《
亮著作	亮著作
亮著名	亮著名
亮著書	亮著书
亮著称	亮著称
亮著稱	亮著称
亮著者	亮著者
亮著述	亮著述
亮著錄	亮著录
人工智慧	人工智能
什勒斯維希	石勒苏益格
介面	界面
仗著	仗着
仗著作	仗著作
仗著名	仗著名
仗著書	仗著书
仗著稱	仗著称
仗著者	仗著者
仗著述	仗著述
仗著錄	仗著录
付帳	付账
代表著	代表着
代表著作	代表著作
代表著名	代表著名
代表著書	代表著书
代表著稱	代表著称
代表著者	代表著者
代表著述	代表著述
代表著錄	代表著录
仲介	中介
份內	分内
份外	分外
份外卖	份外卖
份外，	份外，
份量	分量
伊利諾	伊利诺伊
伊利諾伊	伊利诺伊
伊斯坦堡	伊斯坦布尔
伊斯蘭瑪巴德	伊斯兰堡
伊波拉	埃博拉
伊莉莎白	伊丽莎白
伏地挺身	俯卧撑
伏著	伏着
伯明罕	伯明翰
伴著	伴着
伴著作	伴著作
伴著名	伴著名
伴著書	伴著书
伴著稱	伴著称
伴著者	伴著者
伴著述	伴著述
伴著錄	伴著录
伺服器	服务器
位元組	字节
低著	低着
低著作	低著作
低著名	低著名
低著書	低著书
低著称	低著称
低著稱	低著称
低著者	低著者
低著述	低著述
低著錄	低著录
住著	住着
住著作	住著作
住著名	住著名
住著書	住著书
住著称	住著称
住著稱	住著称
住著者	住著者
住著述	住著述
住著錄	住著录
作業系統	操作系统
來著	来着
來著作	来著作
來著名	来著名
來著書	来著书
來著稱	来著称
來著者	来著者
來著述	来著述
來著錄	来著录
侏儸紀	侏罗纪
促著	促着
保護著	保护着
